order_id,order_date,powder_type,quantity_kg,unit_cost_usd,total_cost_usd,priority,industry_sector,part_complexity,order_month,order_year,order_quarter
1000,2023-06-21,Titanium Ti-6Al-2Sn-4Zr-2Mo,41.97,140.73,5906.51,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1001,2023-06-04,Titanium Ti-6Al-4V,5.41,106.38,575.51,High,Industrial,Complex,2023-06,2023,Q2 2023
1002,2023-06-01,Stainless Steel 17-4 PH,19.7,23.65,465.98,Low,Automotive,Complex,2023-06,2023,Q2 2023
1003,2023-06-24,Cobalt Chrome CoCrMo,25.75,182.0,4686.6,High,Energy,Simple,2023-06,2023,Q2 2023
1004,2023-06-09,Maraging Steel 300,12.8,43.14,552.24,Medium,Automotive,Complex,2023-06,2023,Q2 2023
1005,2023-06-08,Inconel 625,6.82,187.23,1276.89,Medium,Medical,Complex,2023-06,2023,Q2 2023
1006,2023-06-08,Titanium Ti-6Al-4V,81.55,112.23,9152.03,Medium,Medical,Complex,2023-06,2023,Q2 2023
1007,2023-06-05,Cobalt Chrome CoCrMo,16.93,179.94,3046.44,Medium,Industrial,Complex,2023-06,2023,Q2 2023
1008,2023-06-24,Stainless Steel 316L,7.83,25.3,198.11,Medium,Automotive,Medium,2023-06,2023,Q2 2023
1009,2023-06-04,Inconel 625,8.82,181.99,1605.18,Low,Aerospace,Medium,2023-06,2023,Q2 2023
1010,2023-06-22,Titanium Ti-6Al-4V,47.93,101.54,4866.67,Low,Automotive,Medium,2023-06,2023,Q2 2023
1011,2023-06-24,Titanium Ti-6Al-4V,31.7,124.4,3943.36,Medium,Energy,Medium,2023-06,2023,Q2 2023
1012,2023-06-29,Inconel 625,16.04,163.68,2625.49,High,Automotive,Simple,2023-06,2023,Q2 2023
1013,2023-06-18,Titanium Ti-6Al-4V,220.3,103.94,22897.24,High,Medical,Complex,2023-06,2023,Q2 2023
1014,2023-06-03,Aluminum AlSi10Mg,10.85,37.86,410.81,Low,Energy,Medium,2023-06,2023,Q2 2023
1015,2023-06-19,Inconel 625,31.76,199.08,6322.78,Medium,Medical,Simple,2023-06,2023,Q2 2023
1016,2023-06-14,Inconel 625,13.08,158.45,2072.46,Medium,Industrial,Medium,2023-06,2023,Q2 2023
1017,2023-06-02,Stainless Steel 316L,46.76,29.26,1368.3,Medium,Automotive,Medium,2023-06,2023,Q2 2023
1018,2023-06-01,Stainless Steel 316L,132.52,17.4,2306.27,High,Medical,Medium,2023-06,2023,Q2 2023
1019,2023-06-03,Aluminum AlSi10Mg,9.69,23.51,227.84,High,Medical,Complex,2023-06,2023,Q2 2023
1020,2023-06-07,Inconel 625,83.36,140.96,11750.28,High,Automotive,Medium,2023-06,2023,Q2 2023
1021,2023-06-08,Cobalt Chrome CoCrMo,43.41,215.26,9344.4,Medium,Industrial,Complex,2023-06,2023,Q2 2023
1022,2023-06-17,Stainless Steel 316L,53.46,31.53,1685.45,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1023,2023-06-20,Stainless Steel 17-4 PH,129.78,30.45,3952.43,High,Automotive,Medium,2023-06,2023,Q2 2023
1024,2023-06-01,Titanium Ti-6Al-4V,30.41,112.4,3417.96,High,Medical,Simple,2023-06,2023,Q2 2023
1025,2023-06-18,Inconel 625,17.32,190.39,3297.5,High,Medical,Complex,2023-06,2023,Q2 2023
1026,2023-06-07,Inconel 625,73.83,164.65,12156.33,Medium,Aerospace,Complex,2023-06,2023,Q2 2023
1027,2023-06-23,Maraging Steel 300,14.45,56.79,820.68,Low,Aerospace,Medium,2023-06,2023,Q2 2023
1028,2023-06-21,Stainless Steel 316L,27.69,17.03,471.5,Medium,Automotive,Medium,2023-06,2023,Q2 2023
1029,2023-06-23,Stainless Steel 316L,43.0,21.26,914.08,High,Aerospace,Medium,2023-06,2023,Q2 2023
1030,2023-06-18,Aluminum AlSi10Mg,10.17,25.53,259.68,Low,Industrial,Simple,2023-06,2023,Q2 2023
1031,2023-06-14,Hastelloy X,5.78,180.87,1045.4,High,Aerospace,Complex,2023-06,2023,Q2 2023
1032,2023-06-08,Inconel 625,8.24,164.14,1352.53,Low,Industrial,Simple,2023-06,2023,Q2 2023
1033,2023-06-15,Stainless Steel 316L,34.85,28.79,1003.25,High,Aerospace,Medium,2023-06,2023,Q2 2023
1034,2023-06-19,Cobalt Chrome CoCrMo,258.31,181.09,46777.68,Medium,Medical,Simple,2023-06,2023,Q2 2023
1035,2023-06-09,Inconel 625,44.22,159.26,7042.26,High,Aerospace,Simple,2023-06,2023,Q2 2023
1036,2023-06-26,Titanium Ti-6Al-4V,15.56,107.04,1665.54,Low,Medical,Medium,2023-06,2023,Q2 2023
1037,2023-06-28,Stainless Steel 316L,15.13,27.85,421.42,High,Medical,Medium,2023-06,2023,Q2 2023
1038,2023-06-01,Titanium Ti-6Al-4V,12.56,114.23,1434.75,Low,Industrial,Simple,2023-06,2023,Q2 2023
1039,2023-06-25,Stainless Steel 17-4 PH,26.03,32.03,833.63,Medium,Medical,Medium,2023-06,2023,Q2 2023
1040,2023-06-26,Cobalt Chrome CoCrMo,57.51,200.46,11528.48,Low,Automotive,Simple,2023-06,2023,Q2 2023
1041,2023-06-06,Hastelloy X,5.0,225.46,1127.28,Medium,Automotive,Simple,2023-06,2023,Q2 2023
1042,2023-06-23,Inconel 625,30.78,169.8,5226.43,Medium,Medical,Simple,2023-06,2023,Q2 2023
1043,2023-06-14,Stainless Steel 316L,77.49,32.48,2516.89,Medium,Industrial,Medium,2023-06,2023,Q2 2023
1044,2023-06-11,Titanium Ti-6Al-4V,112.67,140.18,15794.23,Low,Aerospace,Medium,2023-06,2023,Q2 2023
1045,2023-06-09,Stainless Steel 316L,22.25,25.37,564.41,Medium,Medical,Complex,2023-06,2023,Q2 2023
1046,2023-06-05,Stainless Steel 316L,109.45,23.66,2589.1,High,Medical,Medium,2023-06,2023,Q2 2023
1047,2023-06-07,Titanium Ti-6Al-4V,16.14,116.18,1875.07,Medium,Medical,Simple,2023-06,2023,Q2 2023
1048,2023-06-25,Titanium Ti-6Al-4V,52.85,139.07,7350.03,Low,Medical,Medium,2023-06,2023,Q2 2023
1049,2023-06-11,Titanium Ti-6Al-4V,35.67,128.9,4597.74,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1050,2023-06-04,Stainless Steel 316L,6.99,26.06,182.13,Medium,Medical,Medium,2023-06,2023,Q2 2023
1051,2023-06-03,Stainless Steel 316L,28.83,24.08,694.23,Medium,Energy,Simple,2023-06,2023,Q2 2023
1052,2023-06-13,Titanium Ti-6Al-4V,30.68,134.74,4133.83,Medium,Medical,Simple,2023-06,2023,Q2 2023
1053,2023-06-04,Stainless Steel 316L,17.68,30.27,535.14,Medium,Medical,Medium,2023-06,2023,Q2 2023
1054,2023-06-12,Stainless Steel 17-4 PH,29.27,26.63,779.32,Low,Aerospace,Complex,2023-06,2023,Q2 2023
1055,2023-06-28,Stainless Steel 316L,25.23,18.32,462.3,Medium,Industrial,Complex,2023-06,2023,Q2 2023
1056,2023-06-12,Titanium Ti-6Al-4V,35.25,123.12,4339.81,High,Medical,Simple,2023-06,2023,Q2 2023
1057,2023-06-20,Titanium Ti-6Al-4V,16.54,123.33,2039.91,Low,Automotive,Simple,2023-06,2023,Q2 2023
1058,2023-06-09,Titanium Ti-6Al-4V,26.7,135.98,3630.72,Medium,Aerospace,Simple,2023-06,2023,Q2 2023
1059,2023-06-26,Titanium Ti-6Al-4V,19.95,119.48,2383.62,Low,Aerospace,Complex,2023-06,2023,Q2 2023
1060,2023-06-02,Aluminum AlSi10Mg,27.73,30.01,832.31,Low,Aerospace,Simple,2023-06,2023,Q2 2023
1061,2023-06-24,Inconel 625,30.57,167.74,5127.94,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1062,2023-06-15,Inconel 625,12.55,203.77,2557.29,Medium,Automotive,Complex,2023-06,2023,Q2 2023
1063,2023-06-18,Cobalt Chrome CoCrMo,16.5,216.22,3567.59,High,Energy,Complex,2023-06,2023,Q2 2023
1064,2023-06-04,Inconel 625,23.75,194.93,4629.47,Medium,Industrial,Simple,2023-06,2023,Q2 2023
1065,2023-06-30,Hastelloy X,25.71,255.85,6577.94,Medium,Aerospace,Simple,2023-06,2023,Q2 2023
1066,2023-06-13,Stainless Steel 316L,89.75,22.22,1994.6,Medium,Aerospace,Complex,2023-06,2023,Q2 2023
1067,2023-06-03,Titanium Ti-6Al-4V,15.92,129.75,2065.67,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1068,2023-06-18,Stainless Steel 316L,28.32,26.71,756.53,High,Aerospace,Medium,2023-06,2023,Q2 2023
1069,2023-06-10,Stainless Steel 316L,82.21,17.85,1467.13,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1070,2023-06-27,Cobalt Chrome CoCrMo,10.15,194.48,1973.93,High,Aerospace,Medium,2023-06,2023,Q2 2023
1071,2023-06-21,Titanium Ti-6Al-4V,14.49,146.97,2129.53,Medium,Energy,Medium,2023-06,2023,Q2 2023
1072,2023-06-20,Stainless Steel 17-4 PH,75.44,31.19,2352.78,Medium,Medical,Medium,2023-06,2023,Q2 2023
1073,2023-06-29,Aluminum AlSi10Mg,13.9,26.82,372.77,Medium,Medical,Complex,2023-06,2023,Q2 2023
1074,2023-06-28,Titanium Ti-6Al-4V,29.92,135.71,4060.34,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1075,2023-06-12,Hastelloy X,69.26,243.15,16840.64,High,Medical,Complex,2023-06,2023,Q2 2023
1076,2023-06-19,Stainless Steel 316L,12.12,22.66,274.66,Medium,Automotive,Simple,2023-06,2023,Q2 2023
1077,2023-06-07,Titanium Ti-6Al-4V,17.75,115.18,2044.36,Medium,Industrial,Simple,2023-06,2023,Q2 2023
1078,2023-06-23,Titanium Ti-6Al-4V,44.92,118.79,5336.01,Medium,Automotive,Complex,2023-06,2023,Q2 2023
1079,2023-06-03,Titanium Ti-6Al-4V,10.88,110.64,1203.8,Low,Medical,Simple,2023-06,2023,Q2 2023
1080,2023-06-02,Hastelloy X,54.09,197.37,10675.84,Medium,Automotive,Complex,2023-06,2023,Q2 2023
1081,2023-06-22,Stainless Steel 316L,40.31,18.86,760.33,Medium,Medical,Medium,2023-06,2023,Q2 2023
1082,2023-06-08,Aluminum AlSi10Mg,9.95,48.14,478.95,High,Aerospace,Medium,2023-06,2023,Q2 2023
1083,2023-06-25,Stainless Steel 316L,149.14,37.2,5547.82,High,Industrial,Medium,2023-06,2023,Q2 2023
1084,2023-06-10,Titanium Ti-6Al-4V,6.45,118.52,764.49,High,Automotive,Simple,2023-06,2023,Q2 2023
1085,2023-06-03,Inconel 625,16.34,148.14,2420.61,Low,Automotive,Complex,2023-06,2023,Q2 2023
1086,2023-06-28,Cobalt Chrome CoCrMo,12.55,182.04,2284.6,Medium,Medical,Medium,2023-06,2023,Q2 2023
1087,2023-06-08,Titanium Ti-6Al-4V,31.25,129.51,4047.08,Medium,Medical,Complex,2023-06,2023,Q2 2023
1088,2023-06-28,Titanium Ti-6Al-4V,13.14,144.59,1899.87,High,Medical,Simple,2023-06,2023,Q2 2023
1089,2023-06-04,Stainless Steel 17-4 PH,12.74,18.04,229.8,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1090,2023-06-13,Titanium Ti-6Al-2Sn-4Zr-2Mo,38.47,171.83,6610.15,Low,Industrial,Medium,2023-06,2023,Q2 2023
1091,2023-06-09,Cobalt Chrome CoCrMo,17.08,196.19,3350.9,High,Industrial,Medium,2023-06,2023,Q2 2023
1092,2023-06-15,Stainless Steel 316L,13.86,26.94,373.43,Medium,Aerospace,Simple,2023-06,2023,Q2 2023
1093,2023-06-21,Stainless Steel 316L,37.58,20.51,770.68,High,Medical,Medium,2023-06,2023,Q2 2023
1094,2023-06-27,Titanium Ti-6Al-4V,15.35,117.2,1798.95,Medium,Automotive,Simple,2023-06,2023,Q2 2023
1095,2023-06-12,Titanium Ti-6Al-4V,40.4,116.8,4718.65,Low,Automotive,Medium,2023-06,2023,Q2 2023
1096,2023-06-06,Aluminum AlSi10Mg,5.0,25.64,128.2,Medium,Aerospace,Simple,2023-06,2023,Q2 2023
1097,2023-06-12,Titanium Ti-6Al-4V,34.2,119.77,4096.15,Medium,Medical,Medium,2023-06,2023,Q2 2023
1098,2023-06-12,Stainless Steel 316L,84.02,21.65,1819.42,Medium,Automotive,Simple,2023-06,2023,Q2 2023
1099,2023-06-07,Inconel 625,26.18,220.27,5766.61,Medium,Aerospace,Simple,2023-06,2023,Q2 2023
1100,2023-06-22,Titanium Ti-6Al-4V,64.55,130.78,8442.13,High,Industrial,Medium,2023-06,2023,Q2 2023
1101,2023-06-09,Stainless Steel 316L,136.55,26.34,3597.13,Medium,Automotive,Complex,2023-06,2023,Q2 2023
1102,2023-06-23,Titanium Ti-6Al-4V,20.94,115.85,2425.85,Medium,Automotive,Simple,2023-06,2023,Q2 2023
1103,2023-06-30,Inconel 625,38.75,169.43,6565.32,Medium,Medical,Medium,2023-06,2023,Q2 2023
1104,2023-06-22,Cobalt Chrome CoCrMo,61.73,185.49,11450.11,Medium,Automotive,Medium,2023-06,2023,Q2 2023
1105,2023-06-21,Titanium Ti-6Al-4V,35.68,108.23,3861.52,Low,Medical,Medium,2023-06,2023,Q2 2023
1106,2023-06-03,Stainless Steel 316L,10.31,22.24,229.3,Medium,Energy,Medium,2023-06,2023,Q2 2023
1107,2023-06-20,Titanium Ti-6Al-4V,40.16,117.45,4716.68,High,Aerospace,Medium,2023-06,2023,Q2 2023
1108,2023-06-21,Stainless Steel 17-4 PH,14.65,24.24,355.17,Medium,Aerospace,Simple,2023-06,2023,Q2 2023
1109,2023-06-06,Cobalt Chrome CoCrMo,8.98,160.13,1437.99,High,Aerospace,Medium,2023-06,2023,Q2 2023
1110,2023-06-18,Inconel 625,89.2,189.38,16892.29,Low,Aerospace,Simple,2023-06,2023,Q2 2023
1111,2023-06-24,Stainless Steel 17-4 PH,16.82,15.45,259.95,Low,Aerospace,Medium,2023-06,2023,Q2 2023
1112,2023-06-08,Stainless Steel 316L,52.31,26.47,1384.53,Medium,Aerospace,Complex,2023-06,2023,Q2 2023
1113,2023-06-06,Stainless Steel 17-4 PH,67.04,23.57,1579.94,Medium,Medical,Simple,2023-06,2023,Q2 2023
1114,2023-06-15,Inconel 625,16.96,164.02,2781.71,Low,Automotive,Simple,2023-06,2023,Q2 2023
1115,2023-06-13,Titanium Ti-6Al-4V,7.16,133.25,954.05,Medium,Automotive,Medium,2023-06,2023,Q2 2023
1116,2023-06-09,Aluminum AlSi10Mg,15.38,38.88,597.94,Medium,Automotive,Simple,2023-06,2023,Q2 2023
1117,2023-06-30,Cobalt Chrome CoCrMo,30.87,210.71,6504.55,Medium,Energy,Simple,2023-06,2023,Q2 2023
1118,2023-06-21,Stainless Steel 17-4 PH,38.02,36.84,1400.63,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1119,2023-06-23,Cobalt Chrome CoCrMo,21.6,191.94,4145.95,Medium,Industrial,Medium,2023-06,2023,Q2 2023
1120,2023-06-18,Titanium Ti-6Al-4V,9.73,137.82,1340.94,Medium,Aerospace,Simple,2023-06,2023,Q2 2023
1121,2023-06-08,Stainless Steel 316L,116.56,25.9,3018.66,High,Medical,Medium,2023-06,2023,Q2 2023
1122,2023-06-22,Cobalt Chrome CoCrMo,5.0,217.74,1088.68,High,Industrial,Medium,2023-06,2023,Q2 2023
1123,2023-06-11,Stainless Steel 316L,46.15,29.04,1340.21,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1124,2023-06-27,Titanium Ti-6Al-4V,53.47,145.66,7788.4,Medium,Medical,Medium,2023-06,2023,Q2 2023
1125,2023-06-25,Stainless Steel 316L,60.46,31.87,1926.76,High,Medical,Medium,2023-06,2023,Q2 2023
1126,2023-06-25,Aluminum AlSi10Mg,24.28,30.02,728.86,Low,Aerospace,Medium,2023-06,2023,Q2 2023
1127,2023-06-02,Titanium Ti-6Al-4V,14.37,97.43,1400.06,Low,Medical,Simple,2023-06,2023,Q2 2023
1128,2023-06-08,Aluminum AlSi10Mg,17.04,50.21,855.57,Medium,Aerospace,Complex,2023-06,2023,Q2 2023
1129,2023-06-27,Titanium Ti-6Al-2Sn-4Zr-2Mo,37.56,135.62,5093.77,Medium,Aerospace,Simple,2023-06,2023,Q2 2023
1130,2023-06-02,Stainless Steel 316L,33.76,19.55,659.94,Low,Aerospace,Medium,2023-06,2023,Q2 2023
1131,2023-06-26,Titanium Ti-6Al-4V,33.38,119.5,3988.96,Medium,Energy,Medium,2023-06,2023,Q2 2023
1132,2023-06-11,Stainless Steel 316L,13.01,30.0,390.34,Medium,Automotive,Medium,2023-06,2023,Q2 2023
1133,2023-06-13,Aluminum AlSi10Mg,5.43,33.28,180.71,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1134,2023-06-09,Aluminum AlSi10Mg,8.2,28.52,233.89,High,Medical,Simple,2023-06,2023,Q2 2023
1135,2023-06-03,Titanium Ti-6Al-4V,22.9,116.12,2659.1,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1136,2023-06-07,Titanium Ti-6Al-4V,99.97,153.47,15342.35,Medium,Aerospace,Medium,2023-06,2023,Q2 2023
1137,2023-06-30,Aluminum AlSi10Mg,40.02,50.67,2027.68,Medium,Industrial,Complex,2023-06,2023,Q2 2023
1138,2023-06-19,Stainless Steel 17-4 PH,64.15,27.94,1792.41,Medium,Medical,Simple,2023-06,2023,Q2 2023
1139,2023-06-29,Titanium Ti-6Al-4V,23.99,111.07,2664.45,Medium,Industrial,Simple,2023-06,2023,Q2 2023
